subj,rev,age,male,gay,condition,guise,attr,score,z.score
AA1,FALSE,22,TRUE,FALSE,marked,seven,messy,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,NA,one,mean,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,normal,two,mean,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,NA,three,mean,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,NA,four,mean,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,five,mean,5,1.132613971
AA1,FALSE,22,TRUE,FALSE,NA,six,mean,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,marked,seven,mean,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,one,insens,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,normal,two,insens,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,three,insens,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,four,insens,5,1.132613971
AA1,FALSE,22,TRUE,FALSE,NA,five,insens,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,six,insens,5,1.132613971
AA1,FALSE,22,TRUE,FALSE,marked,seven,insens,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,one,fake,5,1.132613971
AA1,FALSE,22,TRUE,FALSE,normal,two,fake,7,2.679598908
AA1,FALSE,22,TRUE,FALSE,NA,three,fake,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,four,fake,1,-1.961355901
AA1,FALSE,22,TRUE,FALSE,NA,five,fake,5,1.132613971
AA1,FALSE,22,TRUE,FALSE,NA,six,fake,7,2.679598908
AA1,FALSE,22,TRUE,FALSE,marked,seven,fake,5,1.132613971
AA2,TRUE,25,TRUE,TRUE,NA,six,self,4,-0.460572149
AA2,TRUE,25,TRUE,TRUE,marked,seven,self,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,five,self,4,-0.460572149
AA2,TRUE,25,TRUE,TRUE,NA,four,self,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,three,self,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,one,self,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,normal,two,self,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,NA,six,prude,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,marked,seven,prude,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,NA,five,prude,2,-1.71872046
AA2,TRUE,25,TRUE,TRUE,NA,four,prude,4,-0.460572149
AA2,TRUE,25,TRUE,TRUE,NA,three,prude,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,NA,one,prude,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,normal,two,prude,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,six,masc,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,marked,seven,masc,2,-1.71872046
AA2,TRUE,25,TRUE,TRUE,NA,five,masc,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,NA,four,masc,4,-0.460572149
AA2,TRUE,25,TRUE,TRUE,NA,three,masc,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,NA,one,masc,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,normal,two,masc,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,six,unfr,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,marked,seven,unfr,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,five,unfr,7,1.426650316
AA2,TRUE,25,TRUE,TRUE,NA,four,unfr,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,NA,three,unfr,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,NA,one,unfr,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,normal,two,unfr,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,NA,six,messy,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,marked,seven,messy,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,NA,five,messy,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,NA,four,messy,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,NA,three,messy,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,one,messy,7,1.426650316
AA2,TRUE,25,TRUE,TRUE,normal,two,messy,2,-1.71872046
AA2,TRUE,25,TRUE,TRUE,NA,six,mean,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,marked,seven,mean,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,five,mean,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,NA,four,mean,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,three,mean,7,1.426650316
AA2,TRUE,25,TRUE,TRUE,NA,one,mean,7,1.426650316
AA2,TRUE,25,TRUE,TRUE,normal,two,mean,2,-1.71872046
AA2,TRUE,25,TRUE,TRUE,NA,six,insens,3,-1.089646304
AA2,TRUE,25,TRUE,TRUE,marked,seven,insens,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,NA,five,insens,5,0.168502006
AA2,TRUE,25,TRUE,TRUE,NA,four,insens,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,three,insens,7,1.426650316
AA2,TRUE,25,TRUE,TRUE,NA,one,insens,7,1.426650316
AA2,TRUE,25,TRUE,TRUE,normal,two,insens,2,-1.71872046
AA2,TRUE,25,TRUE,TRUE,NA,six,fake,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,marked,seven,fake,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,five,fake,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,four,fake,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,three,fake,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,NA,one,fake,6,0.797576161
AA2,TRUE,25,TRUE,TRUE,normal,two,fake,3,-1.089646304
ABC2,TRUE,24,TRUE,TRUE,NA,six,self,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,marked,seven,self,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,NA,five,self,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,four,self,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,three,self,6,1.593745472
ABC2,TRUE,24,TRUE,TRUE,NA,one,self,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,normal,two,self,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,NA,six,prude,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,marked,seven,prude,2,-1.806244869
ABC2,TRUE,24,TRUE,TRUE,NA,five,prude,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,four,prude,2,-1.806244869
ABC2,TRUE,24,TRUE,TRUE,NA,three,prude,2,-1.806244869
ABC2,TRUE,24,TRUE,TRUE,NA,one,prude,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,normal,two,prude,2,-1.806244869
ABC2,TRUE,24,TRUE,TRUE,NA,six,masc,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,marked,seven,masc,2,-1.806244869
ABC2,TRUE,24,TRUE,TRUE,NA,five,masc,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,NA,four,masc,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,three,masc,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,NA,one,masc,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,normal,two,masc,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,NA,six,unfr,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,marked,seven,unfr,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,NA,five,unfr,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,NA,four,unfr,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,three,unfr,6,1.593745472
ABC2,TRUE,24,TRUE,TRUE,NA,one,unfr,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,normal,two,unfr,6,1.593745472
ABC2,TRUE,24,TRUE,TRUE,NA,six,messy,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,marked,seven,messy,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,five,messy,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,NA,four,messy,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,three,messy,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,NA,one,messy,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,normal,two,messy,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,NA,six,mean,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,marked,seven,mean,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,five,mean,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,four,mean,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,three,mean,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,one,mean,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,normal,two,mean,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,NA,six,insens,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,marked,seven,insens,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,NA,five,insens,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,NA,four,insens,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,NA,three,insens,6,1.593745472
ABC2,TRUE,24,TRUE,TRUE,NA,one,insens,3,-0.956247283
ABC2,TRUE,24,TRUE,TRUE,normal,two,insens,6,1.593745472
ABC2,TRUE,24,TRUE,TRUE,NA,six,fake,4,-0.106249698
ABC2,TRUE,24,TRUE,TRUE,marked,seven,fake,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,NA,five,fake,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,NA,four,fake,6,1.593745472
ABC2,TRUE,24,TRUE,TRUE,NA,three,fake,6,1.593745472
ABC2,TRUE,24,TRUE,TRUE,NA,one,fake,5,0.743747887
ABC2,TRUE,24,TRUE,TRUE,normal,two,fake,6,1.593745472
AP2,TRUE,27,TRUE,FALSE,NA,six,self,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,marked,seven,self,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,five,self,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,four,self,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,NA,three,self,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,one,self,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,normal,two,self,7,1.860944012
AP2,TRUE,27,TRUE,FALSE,NA,six,prude,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,marked,seven,prude,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,NA,five,prude,2,-1.335769629
AP2,TRUE,27,TRUE,FALSE,NA,four,prude,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,NA,three,prude,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,NA,one,prude,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,normal,two,prude,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,NA,six,masc,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,marked,seven,masc,1,-1.975112357
AP2,TRUE,27,TRUE,FALSE,NA,five,masc,6,1.221601284
AP2,TRUE,27,TRUE,FALSE,NA,four,masc,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,three,masc,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,NA,one,masc,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,normal,two,masc,2,-1.335769629
AP2,TRUE,27,TRUE,FALSE,NA,six,unfr,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,marked,seven,unfr,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,five,unfr,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,four,unfr,2,-1.335769629
AP2,TRUE,27,TRUE,FALSE,NA,three,unfr,2,-1.335769629
AP2,TRUE,27,TRUE,FALSE,NA,one,unfr,2,-1.335769629
AP2,TRUE,27,TRUE,FALSE,normal,two,unfr,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,six,messy,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,marked,seven,messy,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,NA,five,messy,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,NA,four,messy,6,1.221601284
AP2,TRUE,27,TRUE,FALSE,NA,three,messy,6,1.221601284
AP2,TRUE,27,TRUE,FALSE,NA,one,messy,7,1.860944012
AP2,TRUE,27,TRUE,FALSE,normal,two,messy,1,-1.975112357
AP2,TRUE,27,TRUE,FALSE,NA,six,mean,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,marked,seven,mean,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,NA,five,mean,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,four,mean,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,NA,three,mean,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,NA,one,mean,2,-1.335769629
AP2,TRUE,27,TRUE,FALSE,normal,two,mean,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,six,insens,6,1.221601284
AP2,TRUE,27,TRUE,FALSE,marked,seven,insens,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,NA,five,insens,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,NA,four,insens,7,1.860944012
AP2,TRUE,27,TRUE,FALSE,NA,three,insens,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,NA,one,insens,4,-0.057084172
AP2,TRUE,27,TRUE,FALSE,normal,two,insens,7,1.860944012
AP2,TRUE,27,TRUE,FALSE,NA,six,fake,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,marked,seven,fake,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,NA,five,fake,3,-0.6964269
AP2,TRUE,27,TRUE,FALSE,NA,four,fake,5,0.582258556
AP2,TRUE,27,TRUE,FALSE,NA,three,fake,7,1.860944012
AP2,TRUE,27,TRUE,FALSE,NA,one,fake,2,-1.335769629
AP2,TRUE,27,TRUE,FALSE,normal,two,fake,2,-1.335769629
BA2,TRUE,24,TRUE,FALSE,NA,six,self,7,1.680545597
BA2,TRUE,24,TRUE,FALSE,marked,seven,self,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,NA,five,self,5,0.586236836
BA2,TRUE,24,TRUE,FALSE,NA,four,self,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,NA,three,self,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,one,self,4,0.039082456
BA2,TRUE,24,TRUE,FALSE,normal,two,self,5,0.586236836
BA2,TRUE,24,TRUE,FALSE,NA,six,prude,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,marked,seven,prude,5,0.586236836
BA2,TRUE,24,TRUE,FALSE,NA,five,prude,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,four,prude,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,three,prude,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,NA,one,prude,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,normal,two,prude,1,-1.602380686
BA2,TRUE,24,TRUE,FALSE,NA,six,masc,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,marked,seven,masc,1,-1.602380686
BA2,TRUE,24,TRUE,FALSE,NA,five,masc,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,NA,four,masc,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,three,masc,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,NA,one,masc,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,normal,two,masc,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,six,unfr,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,marked,seven,unfr,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,NA,five,unfr,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,four,unfr,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,NA,three,unfr,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,NA,one,unfr,4,0.039082456
BA2,TRUE,24,TRUE,FALSE,normal,two,unfr,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,NA,six,messy,1,-1.602380686
BA2,TRUE,24,TRUE,FALSE,marked,seven,messy,5,0.586236836
BA2,TRUE,24,TRUE,FALSE,NA,five,messy,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,NA,four,messy,5,0.586236836
BA2,TRUE,24,TRUE,FALSE,NA,three,messy,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,NA,one,messy,7,1.680545597
BA2,TRUE,24,TRUE,FALSE,normal,two,messy,1,-1.602380686
BA2,TRUE,24,TRUE,FALSE,NA,six,mean,5,0.586236836
BA2,TRUE,24,TRUE,FALSE,marked,seven,mean,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,five,mean,5,0.586236836
BA2,TRUE,24,TRUE,FALSE,NA,four,mean,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,three,mean,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,one,mean,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,normal,two,mean,5,0.586236836
BA2,TRUE,24,TRUE,FALSE,NA,six,insens,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,marked,seven,insens,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,five,insens,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,NA,four,insens,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,NA,three,insens,2,-1.055226305
BA2,TRUE,24,TRUE,FALSE,NA,one,insens,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,normal,two,insens,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,NA,six,fake,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,marked,seven,fake,5,0.586236836
BA2,TRUE,24,TRUE,FALSE,NA,five,fake,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,NA,four,fake,3,-0.508071925
BA2,TRUE,24,TRUE,FALSE,NA,three,fake,6,1.133391217
BA2,TRUE,24,TRUE,FALSE,NA,one,fake,7,1.680545597
BA2,TRUE,24,TRUE,FALSE,normal,two,fake,4,0.039082456
BZS1,FALSE,27,FALSE,FALSE,NA,one,self,3,-0.475859127
BZS1,FALSE,27,FALSE,FALSE,normal,two,self,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,three,self,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,NA,four,self,3,-0.475859127
BZS1,FALSE,27,FALSE,FALSE,NA,five,self,5,0.708501367
BZS1,FALSE,27,FALSE,FALSE,NA,six,self,5,0.708501367
BZS1,FALSE,27,FALSE,FALSE,marked,seven,self,1,-1.660219621
BZS1,FALSE,27,FALSE,FALSE,NA,one,prude,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,normal,two,prude,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,NA,three,prude,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,NA,four,prude,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,five,prude,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,six,prude,5,0.708501367
BZS1,FALSE,27,FALSE,FALSE,marked,seven,prude,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,NA,one,masc,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,normal,two,masc,3,-0.475859127
BZS1,FALSE,27,FALSE,FALSE,NA,three,masc,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,NA,four,masc,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,NA,five,masc,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,NA,six,masc,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,marked,seven,masc,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,one,unfr,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,normal,two,unfr,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,three,unfr,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,NA,four,unfr,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,five,unfr,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,NA,six,unfr,5,0.708501367
BZS1,FALSE,27,FALSE,FALSE,marked,seven,unfr,1,-1.660219621
BZS1,FALSE,27,FALSE,FALSE,NA,one,messy,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,normal,two,messy,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,NA,three,messy,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,NA,four,messy,1,-1.660219621
BZS1,FALSE,27,FALSE,FALSE,NA,five,messy,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,six,messy,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,marked,seven,messy,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,NA,one,mean,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,normal,two,mean,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,three,mean,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,NA,four,mean,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,five,mean,5,0.708501367
BZS1,FALSE,27,FALSE,FALSE,NA,six,mean,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,marked,seven,mean,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,one,insens,3,-0.475859127
BZS1,FALSE,27,FALSE,FALSE,normal,two,insens,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,three,insens,6,1.300681614
BZS1,FALSE,27,FALSE,FALSE,NA,four,insens,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,five,insens,5,0.708501367
BZS1,FALSE,27,FALSE,FALSE,NA,six,insens,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,marked,seven,insens,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,one,fake,5,0.708501367
BZS1,FALSE,27,FALSE,FALSE,normal,two,fake,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,three,fake,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,NA,four,fake,2,-1.068039374
BZS1,FALSE,27,FALSE,FALSE,NA,five,fake,3,-0.475859127
BZS1,FALSE,27,FALSE,FALSE,NA,six,fake,4,0.11632112
BZS1,FALSE,27,FALSE,FALSE,marked,seven,fake,6,1.300681614
DA1,FALSE,22,TRUE,FALSE,NA,one,self,3,-0.805609173
DA1,FALSE,22,TRUE,FALSE,normal,two,self,3,-0.805609173
DA1,FALSE,22,TRUE,FALSE,NA,three,self,5,0.673542095
DA1,FALSE,22,TRUE,FALSE,NA,four,self,5,0.673542095
DA1,FALSE,22,TRUE,FALSE,NA,five,self,4,-0.066033539
DA1,FALSE,22,TRUE,FALSE,NA,six,self,3,-0.805609173
DA1,FALSE,22,TRUE,FALSE,marked,seven,self,3,-0.805609173
DA1,FALSE,22,TRUE,FALSE,NA,one,prude,4,-0.066033539
DA1,FALSE,22,TRUE,FALSE,normal,two,prude,5,0.673542095
DA1,FALSE,22,TRUE,FALSE,NA,three,prude,2,-1.545184807
DA1,FALSE,22,TRUE,FALSE,NA,four,prude,4,-0.066033539
DA1,FALSE,22,TRUE,FALSE,NA,five,prude,3,-0.805609173
DA1,FALSE,22,TRUE,FALSE,NA,six,prude,7,2.152693364
DA1,FALSE,22,TRUE,FALSE,marked,seven,prude,5,0.673542095
DA1,FALSE,22,TRUE,FALSE,NA,one,masc,5,0.673542095
DA1,FALSE,22,TRUE,FALSE,normal,two,masc,6,1.41311773
DA1,FALSE,22,TRUE,FALSE,NA,three,masc,4,-0.066033539
DA1,FALSE,22,TRUE,FALSE,NA,four,masc,6,1.41311773
DA1,FALSE,22,TRUE,FALSE,NA,five,masc,7,2.152693364
DA1,FALSE,22,TRUE,FALSE,NA,six,masc,6,1.41311773
DA1,FALSE,22,TRUE,FALSE,marked,seven,masc,5,0.673542095
DA1,FALSE,22,TRUE,FALSE,NA,one,unfr,6,1.41311773
DA1,FALSE,22,TRUE,FALSE,normal,two,unfr,4,-0.066033539
DA1,FALSE,22,TRUE,FALSE,NA,three,unfr,5,0.673542095
DA1,FALSE,22,TRUE,FALSE,NA,four,unfr,5,0.673542095
DA1,FALSE,22,TRUE,FALSE,NA,five,unfr,4,-0.066033539
DA1,FALSE,22,TRUE,FALSE,NA,six,unfr,2,-1.545184807
DA1,FALSE,22,TRUE,FALSE,marked,seven,unfr,2,-1.545184807
DA1,FALSE,22,TRUE,FALSE,NA,one,messy,5,0.673542095
DA1,FALSE,22,TRUE,FALSE,normal,two,messy,3,-0.805609173
DA1,FALSE,22,TRUE,FALSE,NA,three,messy,6,1.41311773
