subj,rev,age,male,gay,condition,guise,attr,score,z.score
AA1,FALSE,22,TRUE,FALSE,NA,one,self,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,normal,two,self,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,three,self,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,four,self,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,five,self,5,1.132613971
AA1,FALSE,22,TRUE,FALSE,NA,six,self,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,marked,seven,self,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,one,prude,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,normal,two,prude,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,three,prude,5,1.132613971
AA1,FALSE,22,TRUE,FALSE,NA,four,prude,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,five,prude,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,six,prude,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,marked,seven,prude,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,one,masc,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,normal,two,masc,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,three,masc,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,NA,four,masc,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,five,masc,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,NA,six,masc,1,-1.961355901
AA1,FALSE,22,TRUE,FALSE,marked,seven,masc,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,one,unfr,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,normal,two,unfr,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,NA,three,unfr,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,four,unfr,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,five,unfr,6,1.906106439
AA1,FALSE,22,TRUE,FALSE,NA,six,unfr,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,marked,seven,unfr,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,NA,one,messy,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,normal,two,messy,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,three,messy,2,-1.187863433
AA1,FALSE,22,TRUE,FALSE,NA,four,messy,3,-0.414370965
AA1,FALSE,22,TRUE,FALSE,NA,five,messy,4,0.359121503
AA1,FALSE,22,TRUE,FALSE,NA,six,messy,3,-0.414370965
